text,Sentiments
"@SouthwestAir What's with the pricing cache?! About to book a flight, refreshed the page, &amp; the price jumped from $73 to $159. Ridiculous. 😑",2
@SouthwestAir @Imaginedragons #DestinationDragons Any tix to spare? I wanna go see the show on Friday in LA with my friend @HayleyMad!,0
@SouthwestAir A-List Pref credit card holder called exclusive # and hung up after on hold for 14 min. What gives???,2
@SouthwestAir #DestinationDragons @Imaginedragons I'm a HUGE FAN! I would love tix to your show!,1
@SouthwestAir following!! My bad.,0
@SouthwestAir Is your BWI-SJD service seasonal? Wasn't part of extension. Called intl desk. They didn't know. Want to fly in Sept on Sat.,2
@SouthwestAir Scott is the best!!! Thank yo from the bottom of my heart💕#DestinationDragons with friends in LA @HayleyMad see u Friday,1
@SouthwestAir why must the 4:45pm nonstop BOS-BNA flight stop running after August 7???,0
"@SouthwestAir I have 2d and 3d embossed badges and patches superior to the ones you are currently using. 
http://t.co/3fq3XElbOn",0
@SouthwestAir now flying non stop CMH-OAK has me daydreaming about a trip to the bay...especially in this weather. #OhioProbz,1
@SouthwestAir  3 flights yesterday; no treats but nuts and pretzels. Also no origami in the magazine. New policies? #OldPoliciesWayBetter,2
@SouthwestAir is awful. They have lost my bag and aren't providing any info. This is day 3 and nothing. #WORSTAIRLINEEVER,2
"@SouthwestAir if this flight is Cancelled Flighted or delayed any further I expect full compensation for my park ticket, hotel &amp; flight..",2
@SouthwestAir yeehaw. You found us another plane.  Thx for listening to me vent.,1
@SouthwestAir there is a good chance myself nor anyone else in this airport will ever be Flight Booking Problems southwest again..,2
@SouthwestAir and YOUR costumer service representative lied to me and ensured me the plane would be leaving by 330.. It's scheduled for 455,2
@SouthwestAir not to mention I now have to sit in the airport for 4 hours. You've ruined my trip. I am not happy and want compensation.,2
@SouthwestAir you need to get your act together. You new this morning at 830 our plane was malfunctioning. Yet I've been delayed 3 times ..,2
"@SouthwestAir @BrittanyOBX11, keeping families apart w/ your quirky, archaic policies. Any other airline accommodates in this situation.",2
@SouthwestAir Report was filed but would like to support some active searching.  Feels pretty passive now.  Info on computer is precious.,2
@SouthwestAir surprise surprise more delays. Seems to be the norm.  Broken down equipment.,2
@SouthwestAir This is unbelievable... Thank you so much! #DestinationDragons,1
@SouthwestAir AMAZING c/s today by SW thank you SO very much. This is the reason we fly you #southwest,1
@SouthwestAir is the best airline out there no one is better than them #OneLove #Southwest #bestairline,1
@SouthwestAir great cabin and flight crew this morning on #578. A great smile and happy staff are signs of a happy company. Thanks.,1
@SouthwestAir thank you for always going above and beyond with your customer service!!!!!! #favoriteairline #luvforSW #southwestAir,1
@SouthwestAir yes can do,0
@SouthwestAir Why doesn't mean TSA PreCheck show up on my mobile boarding pass? My KTN is linked to my account.,2
"@SouthwestAir great news for @PortColumbusCMH today. Finally, Columbus' top unserved market will have flights.",1
@SouthwestAir no flights to HRL :( is this a limited route?,2
"@SouthwestAir is really stepping up their ""service""🐩 http://t.co/VQTyza6Mzu",1
@southwestair this inflight WIFI is the absolute worst. I'd be willing to have paid double for dialup speeds...  #Flight7,2
@SouthwestAir are there any flights from MSP to HRL in March? I'm looking at 3/19-3/23,0
@SouthwestAir Yes I know that. Also noticed you offer A list boarding after A60. So your programs are too popular.,2
@SouthwestAir I pay for a service to be delivered. Whether or not it is your fault shouldn't there be some sort of compensation?,2
@SouthwestAir A little surprised my Early Bird got me B15 from DEN to KC just now. Worst I've had. What's up?,2
"@SouthwestAir Again, please accept my apologies for my lame, childish tweet. You didn't deserve that, &amp; I remain a LOYAL SW customer!",1
"@SouthwestAir I owe you an apology. My tweet was out of frustration, not constructive criticism. I'm a SW fan &amp; LOVE your service!",1
@SouthwestAir wouldn't it be awesome for my first time flying to be #DestinationDragons?!,0
@SouthwestAir ..just booked trip to Cancun...❤️ no baggage fees..but need to have more flight time options,1
@SouthwestAir thank you!!! #bringbacktheluvtordu #miami #directflights,1
"@SouthwestAir I can easily get to the Atlanta show, I just need tickets, help?!",0
"@SouthwestAir, got ""duped"" w/ a connection on 1st flight (sneaky), now u won't give me a seat on an earlier flight w/ availability. Shameful",2
"@SouthwestAir adding direct flights from #Columbus to #Oakland, @BostonLogan 
http://t.co/p8Vcz4XTHM via @DispatchAlerts",0
@SouthwestAir That would be great. Thank you! I'll send it over when you follow.,1
"@SouthwestAir boarding passes now compatible with #iPhone #Passbook 
http://t.co/1ESmMnIZEk",0
"@SouthwestAir, real sincere apology! Makes my day! Glad to know flying mail is more important than me. Never flying SW again! #badservice",2
@SouthwestAir I already follow you and can't DM because u need to follow me back,2
@SouthwestAir My DM won't go through but it is 261633561838. Please let me know if you need anything else.,0
@SouthwestAir Can someone rebook me? Please direct message me.,0
"@SouthwestAir, rude customer svc, won't accommodate an earlier flight w/o $400 charge. US Mail takes priority over customers. #badservice",2
@SouthwestAir RUDE gate agent. Wholly unacceptable to us &amp; other passengers. Think this will be our last time on sw.,2
@SouthwestAir having trouble reFlight Booking Problems a Cancelled Flighted flight. no one picking up phones and your site isn't working.,2
@SouthwestAir @FortuneMagazine Love SW forever😃💕😍⤴⤴,1
@SouthwestAir please hire an efficiency consultant to manage your PHX baggage checkin. Way to many open kiosks with 100's of ppl waiting,2
@SouthwestAir question all.  When will I receive my yearly bonus point accumulation? I think it's around now but not sure.  Thanks! :),0
@SouthwestAir @FortuneMagazine. I'm flying on one right this minute,0
"@SouthwestAir SW rocks, thanks for the reply and the follow. Rebooked earlier flight!",1
@SouthwestAir @FortuneMagazine Congrats!,1
@SouthwestAir @FortuneMagazine well deserved!,1
@SouthwestAir please please please choose me to go see @Imaginedragons   #DestinationDragons,0
@SouthwestAir @FortuneMagazine I always tell everyone to fly Southwest! Congratulations!!!,1
@SouthwestAir @FortuneMagazine friendliest employees,1
@SouthwestAir I got a phishing email claiming to be from Southwest. I can forward to you if you'd like to investigate.,0
"@SouthwestAir unfortunately no, it's my lack of status that's the big problem. My company policy forces me to buy the cheapest tickets",0
@SouthwestAir Every flight flown by me personally(about two round trips per month) is FULL. Still hard to believe. Fly 8 hours thru ATL?NO,2
@SouthwestAir @FortuneMagazine Superb choice - SWA. I am a raving fan. They even take stress out of weather-reLate Flightd glitches!  #custexp,1
"@southwestair has 22 employees on Social Care Team, 4 staff the Listening Ctr. at any time-rest of spots filled by other areas. #RaganDisney",0
@SouthwestAir listening center is open seating just like on their planes. #RaganDisney,1
@SouthwestAir @jlittle100 Double up with this comment. PHL to anywhere South Florida is GONE GONE GONE. Hello US Air,2
@SouthwestAir . I don't like the new schedule. No more nonstops from PHL to FLL or PBI? We are not free to move between those cities. Sad.,2
@SouthwestAir Incredibly frustrating. I emailed but still haven't received a response.,2
@SouthwestAir I paid for inflight wifi only for it not to work. Download speed was 0.21mbps &amp; I ended up watching the free TV instead.,2
@SouthwestAir sure can! Just a second.,0
@SouthwestAir oh my god thank you so much!!! I just sent you a DM,1
@SouthwestAir I wish I would've known so I could've slept 2 hours more and let my friend know not to wait for me after she lands...,2
@SouthwestAir Thank you for the prompt response. I will email Late Flightr today.,1
"THANKS to @SouthwestAir , I get to go to the #DestinationDragons @Imaginedragons show this weekend in UTAH @VelourLive  !!! #ThankYou",1
@SouthwestAir @FortuneMagazine Congratulations!,0
"@SouthwestAir For my Grandma Ella's 80th, she would love a bday greeting from your flight crew! She was a stewardess for Eastern Airlines.",0
@SouthwestAir is there any chance I could get tickets to the #DestinationDragons show in Vegas? Ive been a huge fan for years! Pretty please,0
"@SouthwestAir @FortuneMagazine Love u Southwest. You've always been helpful. When I traveled a lot w/my son, infant/toddler, U were great!",1
@SouthwestAir @FortuneMagazine Love flying Southwest! Best flight attendants ever!,1
@SouthwestAir nothing express about your express bag drop at Phoenix Sky Harbor,2
@SouthwestAir is it possible to book a refundable trip? Willing to pay extra. This would be for a domestic round trip flight,0
"@SouthwestAir used to exclusively fly SW, but Late Flightly, direct flights &amp; cheaper costs have me switched. 😔 why...so... few...direct...flights?",2
@SouthwestAir would you be willing to help me surprise my bestfriend with tickets to go see @Imaginedragons? #DestinationDragons Gracias!,0
@SouthwestAir MAC computer left on BWI to LA flight on 14th.  Reward for recovery; info important to owner.#HELP #passengers #honesty,0
"@SouthwestAir @FortuneMagazine I DO like your airlines, congrats! : )",1
@SouthwestAir Hi Guys good morning how are you doing,1
@SouthwestAir Is there an email address I can send some thoughts to? This experience was really not good &amp; I have some feedback.,2
@SouthwestAir Southwest is definitely my favorite airline to fly! :D,1
@SouthwestAir Congratulations!,1
@SouthwestAir great. My flight is delayed three hours. Now my friend has to wait for me at the airport for hours on her birthday. 😒👎,2
@SouthwestAir guess where Ashley is. She's doing a great job presenting. #ragandisney http://t.co/5ZNMwxDI9U,1
@SouthwestAir using social business roadmap to develop intelligent path to embed social across enterprise #RaganDisney,0
@SouthwestAir adds new direct flights from #Columbus to Oakland &amp; Boston starting August 2015 #cmh #oak #bos,0
@SouthwestAir Is there anyway to pay more to get priority boarding A 1-15?,0
@SouthwestAir @thirty_lives birthday is the 24th and he's not seeing Imagine Dragons at #DestinationDragons ?,2
"@SouthwestAir thank you for integrating with Passbook on iOS, it all works so much better now!!!",1
@SouthwestAir Is my friend lucky enough to see #DestinationDragons live on his birthday? He's been a fan for years @thirty_lives,2
@SouthwestAir I've been a fan of imagine dragons since 2012 and they're my fave band and #DestinationDragons is during my bday can I get tix,0
@SouthwestAir Whats up with flight 4464 Ft myers to milwaukee???,0
@SouthwestAir My birthday is during #DestinationDragons could I get tix?? http://t.co/07XhCacjax,0
@SouthwestAir Please bring back RDU to FLL direct route!  I noticed it is missing starting in Late Flight August!  The flights are always packed!,0
@SouthwestAir when you enter every contest for #DestinationDragons and lose :(,2
@SouthwestAir is main supporter of play where Jesus is portrayed as homosexual partner of Judas and who performs a “gay wedding” #boycott,2
@SouthwestAir Hi do you know why WN4287 is already delayed until 9:35pm tonight? Thanks !,0
@SouthwestAir you're giving everyone tix for #DestinationDragons except for me and it's during my birthday!!!!,2
@SouthwestAir my birthday is during #DestinationDragons and im a huge fan- anyway I can get tickets?,1
"@SouthwestAir - thanks to the agent boarding 1137, ATL-AUS. Left my wallet on the inbound. He found it for me!",1
@SouthwestAir I sent you my conf number yesterday.,2
@SouthwestAir iPhone app now has passbook support! Whoot! It's the little things in life... 😜,1
@SouthwestAir Thanks! Will do,0
@SouthwestAir If you read my tweet it is a gap in process for folks that take multiple flights in one day.,0
@SouthwestAir  do you know where my plane is coming from?  I'm on SW flight 4464 from RSW to MKE,0
"@SouthwestAir well, it was fun while it lasted. Not happy about the change to redeeming reward points. Won't be loyal anymore.",2
@SouthwestAir why the delay on Flight 423 BDL to MCO? Need to get to Florida for the ☀️&amp; races in Daytona,2
"@SouthwestAir aww thanks!! Other than that, love it!",1
@SouthwestAir Learn how to give folks on multiple flights the same day boarding position at least if you can't give them  boarding passes.,2
@SouthwestAir we're here at MCO. Thanks.,1
"@SouthwestAir schedule is open through the end of October, got Columbus day wknd in New England for ~50K points for 4! Check your calendar!",0
@SouthwestAir the new logo is going to look amazing on the airplanes,1
@SouthwestAir I am now a rapids rewards member #lovetotravel #chaching,0
@SouthwestAir okay just signed up!,0
@SouthwestAir when's the next deal going to happen a poor college student is trying to fly to Orlando instead of drive in August! Lol,0
"I appreciate the reply. RT @SouthwestAir: @luxclark We’re so sorry to keep you waiting, Laura. An Agent will be with you shortly...^CB",1
@SouthwestAir booked our flights this morning. Can't wait to move about the country.,0
@SouthwestAir I love you guys! Had to take a few other airlines this week...makes me love and appreciate y'all so much more! #onlywaytofly,1
@SouthwestAir I'm getting leathery from the heat on 4251 before I even get to Vegas....,2
@SouthwestAir my first flight ever and flight #4251 is already having technical issues. Faaaannntastic.😭,2
@SouthwestAir trying to get to Mexico in September! How about affordable nonstop flights????,0
@SouthwestAir how it feels on flight 4251 http://t.co/JM8gQ1KGrF,2
@SouthwestAir I think me and my group could use some nice cold drinks once we get in the air...we are all over 21 😜😎,0
@SouthwestAir Stuck on 4251 with the heat blasting to try and thaw the water lines.... Kinda disappointed for my first flight as a RR member,2
"@SouthwestAir love how ""friendly"" your staff is when asking for updates on delayed flights causing missed connections. #horribleattitudes",2
"@SouthwestAir DM sent! Thanks so much for responding! Your response was so timely, I missed it!",1
@SouthwestAir hates guitar players. Chgd for oversize AND extra bag on my acoustic guitar. Epic fail.,2
@SouthwestAir are passengers automatically rebooked on other flights if original is Cancelled Flighted for weather etc?,0
@SouthwestAir Thank you for having flights going out of Nashville! You guys Rock! #DisneyPrincessHalfMarathon #girlsweekend #bffs,1
"@SouthwestAir Flt 463 San Jose, CA -&gt; Denver, CO. Delayed 2 hrs but easily best flight + touchdown in all my years flying. Keep it up!",2
@SouthwestAir Thx Ops Agt Rich Westagard n Flight Att. Nancy @ DEN Airport.Held flight 1027 n even saved seat 4 Bus Select #CustomersFirst!,1
@SouthwestAir y'all the real MVP with these prices...,1
@SouthwestAir ugh kicking myself for missing out on #destinationdragons. I need some @Imaginedragons back in my life  http://t.co/sbEhi46bMk,0
@SouthwestAir Is there any chance I can get tickets for the Vegas stop? I missed my chance to enter the contest but I love ID to death !,0
"@SouthwestAir Any chance the flight I just took can count for #3? I mean, I signed up with SW wifi in the air! 2/2",0
@southwestair so I saw the promo for A-List when I was on a plane this Monday. I fly two more times in the qualification period. 1/2,0
@SouthwestAir hilarious flight attendants on Vegas to Detroit tonight http://t.co/nw7vx7DGMF,0
@SouthwestAir I spoke to soon... My bag was lost.. :(,2
@SouthwestAir @flightspots about time! #mobileboarding is a must!,0
@SouthwestAir love bridesmaid dancing Can't wait for you to fly into puerto Vallarta and kick united ass!,1
"@SouthwestAir @tbuccheriFRNC3E. It takes 13.5 hours to fly from Chicago to Beijing on United, and 12 to fly from Vegas to Omaha on SW...",0
@SouthwestAir I ❤️ you! The only airline that understands us military families and our unpredictable changes. Pound it 👊,1
@SouthwestAir can i get tiks for #DestinationDragons omg id love to! Plz 😱❤️im dying,1
"@SouthwestAir humor aside, we've been stuck on the plane for two hours at the gate because bags can't be loaded correctly. What gives?",2
@SouthwestAir We've been sitting at the gate for two hours waiting for bags to be loaded... I'm telling Herb.,2
@SouthwestAir my PR class would luv to know who's in charge of your Twitter. How many people write your tweets? #gracias,0
@SouthwestAir if you are giving tix to #DestinationDragons show would appreciate one or two for LA😄Flying from PHL to LAX on Friday,0
@SouthwestAir any chance I can get tix for @VelourLive @Imaginedragons? I have been tweeting since January 26 about it #DestinationDragons,0
@SouthwestAir only 1 guest needs to change a flight on a reservation of 2. How can I do it? I NEED this to happen. Say it can...Please help!,0
@SouthwestAir inflight entertainment.  Tonight a Willie Nelson impersonator sang for the passengers #peanutsandtoons http://t.co/kCDdOD7uFF,0
@SouthwestAir had a very rude gate agent at BWI tonight gate B8 after a 6.5hr delay for flight 1172. I think a little training is in order.,2
Looking forward to using Passbook when I fly  @SouthwestAir in a few weeks!,1
@SouthwestAir heard you are saving 30k a year on fuel not carrying around those skymall's #ripskymall,0
"@SouthwestAir if a passngr requires wheelchair to gt on plane then sits in an exit row, wld they b physically capable to help in emergency?",0
"@SouthwestAir So there were 134 early-bird check-ins, because I was told there were no flythroughs? Good flight, otherwise ~",0
@SouthwestAir Fantastic! Thank you!,1
@SouthwestAir sat on a plane for 2+ hrs on 2/15! Then we finally took off.. :(,2
@SouthwestAir - Great flight from Phoenix to Dallas tonight!Great service and ON TIME! Makes @timieyancey very happy! http://t.co/TkVCMhbPim,1
@SouthwestAir flight Cancelled Flighted tonight and was told I won't receive a travel voucher for the inconvenience. Is that really your policy?,2
@SouthwestAir you guys are so clever 😃 http://t.co/qn5odUGFqK,1
@SouthwestAir I fly SWA a lot - ALWAYS purchase EB and NEVER past A30... Rethinking the SWA process.  Very misleading.,2
@southwestair Amazing view on the approach to LAX tonight. http://t.co/a68d5fULmH,1
@SouthwestAir today you sporadically changed my flight departure 5 times &amp; left two hours Late Flight. Uncharacteristic of u http://t.co/TXhYJ40llG,2
"@SouthwestAir, I really appreciate you all's #BHM commercial that aired today during @BET's #BookofNegroes",1
@SouthwestAir do new flights come out at midnight?,0
"@SouthwestAir Looks like 'On February 19, 2015, we will open our schedule for sale through October 30, 2015' - know what time that will be?",0
"@SouthwestAir Yes - with extra $77. I wonder what are you going yo loose, if there is room.",2
@SouthwestAir do you have all winners for @Imaginedragons #DestinationDragons,0
"@SouthwestAir have a flight from Oakland to SNA at 7:30, and I asked if I can take 5:30, even there are 5 empty sests. Answer is ""No"". :(",2
"@SouthwestAir I had to travel to Savannah, GA, once again, on an airline I don't ""Luv"". When r u going to fly me to Savannah? Pleeeease!!!!",0
"@SouthwestAir could care more about their customer, if there is a reasonable request :(",2
"@SouthwestAir So I am flying Chicago-LAX-PHX just to go spotting at LAX and PHX airports, then I am flying back to Chicago :)",0
"@SouthwestAir Thanks for replying, I sen't my conf #! I love aviation and Southwest and all I wanted for my 18th was to fly SWA for the day!",1
@SouthwestAir I am going to stop flying with you.  Delays everytime.  This time due to paperwork?,2
@SouthwestAir Thnx. Hopefully it's just on the nxt flight up. I've got 3 shows this wknd. Worst case I'll just turn my sweatshirt inside out,2
@southwestair thanks for taking it up a notch!! leinenkugels #craftbeer #goodflight @ Norfolk… http://t.co/TgSLjjN6g0,1
@SouthwestAir i cant look up my confirmation number at the moment on mobile. the email is no longer in my inbox,0
@SouthwestAir I receive bad customer service and ended up spending several hundred dollars to accommodate my family during each cxl flight,2
"@SouthwestAir thank u for not leaving me 
@me nice job running thru the airport to catch your connecting flight",1
@SouthwestAir it keeps saying that mobile boarding passes are unavailable despite having checked in and everything,2
@SouthwestAir thanks so much for making my night 😀 cannot wait for my trip next week! http://t.co/NbZ45jCd1r,1
@SouthwestAir your app isnt working and i take off in like two hours help,2
@SouthwestAir why can't you take me to Knoxville?? yall are my fav #help,2
@SouthwestAir @Imaginedragons any info on #DestinationDragons ?? me &amp; @sammi_jon3s need to know..,0
@SouthwestAir filing it now. Thank you for your response.,1
@SouthwestAir #DestinationDragons Any word on winners of contest? Any chance for tix for the Provo DestinationDragons show? Fingers Crossed!,0
@SouthwestAir I will be writing in about the service via email. My company also transports well over 100 clients monthly via SW.,0
@SouthwestAir One heck of an airline http://t.co/CyoOnZfTdC,1
@SouthwestAir Thanks!!! :)  It is good to air on the side of caution,0
"@SouthwestAir I understand weather is not your fault, but as a frequent flyer I expected better customer service. I'll be trying @Delta",2
@SouthwestAir Yay! And are dependents with ID (wife children) eligible to use this discount too? How do you use it over the phone/inperson?,0
"@SouthwestAir My flight was 952, leaving las vegas at 5:40pm, arriving at CHI-MID at 11:00 pm.",2
"@SouthwestAir woohoo that just made my day. I looked and just couldn't find that, thank you!",1
@SouthwestAir doesn't even have gluten free peanuts. whyyy me??,2
@SouthwestAir when will dates to fly go past August 7 2015?,0
@SouthwestAir just had a great flight #4223 with Damion! He was the best #damionflight4223,1
@SouthwestAir Please update your website,2
YO! @InternJohnRadio @mrerickv  give @SouthwestAir their plane back.  They're mad &amp; threatening to take away my Companion Pass. #Luv,0
"@SouthwestAir @Kaneshow @InternJohnRadio @mrerickv THIS IS EVERYTHING... now, return that jet so we can go to Miami!",2
@SouthwestAir where was the inclement weather? Other flights left DCA today and this plane appeared to be coming from AUS.,2
@SouthwestAir Whoa. Thanks and that's what I wanted to hear! Early flight coming up. Thanks for the reply.,1
@SouthwestAir Working on a piece about military discounts and am hearing you offer one. Can you give me specifics and confirm? Thank You!,0
@SouthwestAir @Imaginedragons  Did they pick someone for Destination Dragons?,0
@SouthwestAir Do you anticipate any Cancelled Flightlations for flights out of Nashville tomorrow? Thank you!,0
@SouthwestAir thx - fingers crossed they are found.,1
@SouthwestAir do you have any info about when #DestinationDragons winners will be announced? me &amp; my best friend are hoping to win. thanks!,0
@SouthwestAir So far so good! http://t.co/16c9ex79Rk,1
@SouthwestAir just DMed you guys!!! 😁😁😁😁,0
"@SouthwestAir @LeeAnnHealey I was all, yeah sale fares! I got places to fly! Oh damn, right, I live where SWA doesn't fly. #why",2
@SouthwestAir @Imaginedragons @beatsmusic I'd love to hear them live at @VelourLive @velourlive this saturday! #destinationdragons,1
"@SouthwestAir that's why I fly y'all, that personalized service",1
@SouthwestAir k but who won destination dragons,0
"@SouthwestAir @Imaginedragons @beatsmusic well timed tweet, just boarded and will be listening on my way home!",1
@SouthwestAir it took ages for one snapchat story to load. one. ONE. I will demolish you,2
@SouthwestAir I dunno my travel information.. like what?,0
@SouthwestAir lost my sunglasses &amp; case on a flight 3933 last night - is there a lost &amp; found?,2
"@SouthwestAir snapchat, iMessage, instagram......",0
@SouthwestAir your WiFi is shit. fix that up before I jump out of the closest bloody fucking emergency exit.,2
@SouthwestAir We need help changing a name on a company reservation....We tried calling customer relations but there is a busy signal.,2
"@SouthwestAir alas, it was pretty full so we had to entertain ourselves with witty repartee ...",2
@SouthwestAir will do! #heart #flying,0
@SouthwestAir I am trying to book another flight and apply my credits that I had from another flight but I can't find them.,2
@SouthwestAir So frustrated with my experience with #Southwest. 18 hours trapped in Denver bc of mechanical problems. #worstcustomerservice,2
@SouthwestAir awesome. thank you!,1
@SouthwestAir we've now lost a whole day of our honeymoon... Very disappointed and frustrated with everything.,2
@SouthwestAir we have to stay in Chicago overnight and meet up with our bags there. I hope they stay put and don't get put on a flight.,2
"@SouthwestAir luckily, the people working the BSO at Chicago Midway have been very attentive and found our bags in Punta Cana.",1
"@SouthwestAir are bicycles that the 62"", 50lbs criteria free or bikes are automatically $75/each way? The FAQ page isn't very clear to me.",2
@SouthwestAir is there a way to DM you?,0
@SouthwestAir was wondering is there a reason why customer service is so busy? Been on hold past few days for many hours No answer Help plz,2
"@SouthwestAir Open more kiosks at 
Austin-Bergstrom. Three lanes to service a line of 50 people? Really?",2
@SouthwestAir @ PIT- Gate A1! Big shout out to the lady trying to track him down!,1
@SouthwestAir - I just had a great experience with your customer service team. Thank you! #LuvSW A-list,1
@SouthwestAir is there a way to know who checked my bag on the curb? She was awesome!!! And want to be sure she gets a high five!,1
@SouthwestAir yall still fly in the cold right?,0
"@SouthwestAir pls help me get this resolved &amp; reimbursement made.  gracias, rico; pls send me private msg with phone number or email address",2
"@SouthwestAir A-list preferred line phone wait was 15 minutes. I hung up, not feeling A-list-ey!",2
@SouthwestAir How do I stop getting credit card apps? I already have a card!,2
@SouthwestAir thank you for handling this for me. Glad Southwest cares about what it's flyers think!,1
Bingo! “@SouthwestAir: Thank you for bringing this to our attention. We'll be happy to reach out to Noah so we can make this right. ^MR”,1
"@SouthwestAir oops, Sorry, Done,",0
@SouthwestAir how come on mobile I can't proceed w/o entering a postcode at purchase. I'm from Ireland and I don't have a postcode just.,0
@SouthwestAir TSA Pre isn't showing up on my boarding passes and I've followed all of the steps. Please help.,2
@SouthwestAir I would but you need to follow me first ;-),0
@SouthwestAir I'm not sure I did the messaging part right. Please let me know if you received it.,0
@SouthwestAir love..luv the addition of the passbook option.,1
@SouthwestAir thanks for the follow up. So glad to get my bag back.,1
"@SouthwestAir Denver to Phoenix, I think we're finally getting ready to take off.",0
"@southwestair is your companion pass broken today? 
purchase.error.INVALID_LOYALTY_MEMBER_ACCOUNT_STATUS (SW900001-vyiL1XKlROG24fS-918j_A)",0
@SouthwestAir if you guys fuck this up again  I will never forgive you,2
@SouthwestAir I'm smashed into a window by the giant guest sitting next to me. #4386. No way this guy should have been given 1 seat.,2
@SouthwestAir I'm miserable on your Orlando to Vegas nonstop right now. How big must a guest be for u to require 2 seats?  I'm in 1A btw.,2
@SouthwestAir amazing service by your SW stewardesses! From den to Cun and from CUN to Atl and atl to lax. Thank u!,1
@southwestair #ftw! ✈️ Hope they'll sing us a song on our flight to Phoenix today. (@ Terminal 2 (Humphrey)) https://t.co/mAvIgetbBw,0
@SouthwestAir did you pick the winners for the #DestinationDragons ?? #87yearsLate Flightr #maybeijustlost #whyyounoloveme,0
@SouthwestAir @love_dragonss lol I'm sorry I'm just seeing this now but LAUREN OH MY GOD AHHHH,1
@SouthwestAir bad weather and multiple Cancelled Flighted flights has us all scared!  Noted for next time.,2
@SouthwestAir good to know NOW!  Three sets of travelers in just 20 mins standing here waiting for mins to pass by.,2
@SouthwestAir once or twice a year. Hard to get vacation time from work sometimes. But love flying with you guys!,1
@SouthwestAir JUST GAVE ME TICKETS TO SEE @Imaginedragons  AT @VelourLive ON SATURDAY. I CAN'T EVEN RIGHT NOW HAHA. THANK YOU!!!!,1
"@SouthwestAir doesn't want to deal with me, but the world might want to know how they are treating their customers: http://t.co/sKKewqhssG",2
@SouthwestAir So I guess you can get to the airport too early!  Need to wait 10mins to checkin. Really?,2
@SouthwestAir @taylormdowns We share that value in common. :),1
"@SouthwestAir Is the 1,750 bonus at 1800Flowers still on or did it expire 2/14/15?",0
@SouthwestAir @karajusto OK we will! Thank you!!!,1
@SouthwestAir 8FKQW is the conf #. Thanks for the reply,0
"@SouthwestAir Times change, I guess. http://t.co/osox9h7fWY",0
@SouthwestAir #worstthingever 2days Late Flightr our lost bag was fedexed somewhere. Do you know where cause we don't &amp; it was delivered somewhere,2
@SouthwestAir App Updated With #Passbook Support http://t.co/WrWqrUblPs via @ubergizmo,0
"@SouthwestAir how do i know that my information is not found on other people's account?  I can see someone else's reservation, rr # and trip",2
@SouthwestAir I don't have a conference number.  I spoke with Courtney in Texas and David before that. they finally fixed mine after an hour,2
@SouthwestAir Any possible chance of SWA bringing back service between LGA-BWI? It would make it much easier to connect to the west coast.,0
@SouthwestAir please expedite missing bag claim #3526665682. Thanks!,0
@SouthwestAir is there anything I can do to get tickets for @Imaginedragons at @VinylVegas? It would mean so much to me #DestinationDragons,0
@SouthwestAir When does the new schedule open that takes us past 10/31?,0
@SouthwestAir Customer service said it was a known problem that they were using same confirmation numbers for domestic and international,2
@SouthwestAir looks like my 1 yr anni trip has been replaced w someone's itinerary. Worried abt who can c my flight http://t.co/BApE6RuMNE,2
@SouthwestAir go south everyone,0
"@SouthwestAir why would I want to when the last time I did, you screwed me out of my early boarding that I PAID FOR.",2
@SouthwestAir thanks for the follow up.  I appreciate it.,1
@SouthwestAir :arrived in San Juan early. Thanks for a great flight. LUV u!,1
@SouthwestAir #JamesAsworth has the worst corporate account manager #22 Brent. I will now take my 70plus flights to @Delta thank you,2
@SouthwestAir just sent you a DM w/ additonal info,0
"@SouthwestAir, a complete horror show. Flights bumped three times today, before noon, not how to run an airline. #cantblametheweather.",2
@SouthwestAir can I please go see @Imaginedragons on friday? I promise I'll only fly Southwest when going back home to NH #MHTforlife,0
@southwestair. So important to accept others for who they are. #SWADiversity,0
"5 hour delay = shortly?“@SouthwestAir: @brendanpshannon Brendan, we are so sorry to keep you waiting. We'll have you in the air shortly!^RS”",2
@SouthwestAir Are you announcing any more winners to the #DestinationDragons @Imaginedragons  show @VelourLive in UTAH this weekend? #Lucky,0
"@SouthwestAir thanks, already subscribe and have a RR Account. Had received a promo code last month but has since expired. Any new offers?",1
@SouthwestAir thank you kindly.,1
@SouthwestAir step 1: be less shot. Step 2: acknowledge customers other places than Twitter. Step 3: don't suck so much,2
@SouthwestAir so when do we find out who won the imagine dragons contest?,0
@southwestair Great job celebrating #MardiGras2015 .  You own the industry . Another reason I'm nuts for you! http://t.co/8WBzOrRn3C,1
@SouthwestAir Thank you.,0
@SouthwestAir planning a family trip to Orlando in May and trying to figure out when to book to get the best rate. Any Suggestions?,0
@SouthwestAir lemme come to #DestinationDragons 😭😭😭 this university student could use a break from all these books.,0
@SouthwestAir I'm sorry for straying and going with @AmericanAir I've learned my lesson. These attendants need some SW happiness!,2
@SouthwestAir I will not have my passport in time for my trip. Could I still fly with photo ID? #thingsishouldknow #ifeeldumb,0
"@SouthwestAir just added #passbook support to their iOS application! Finally, I get to add them to my collection. http://t.co/lEdNoCdQee",1
@SouthwestAir how can I get tickets for Feb 20 Imagine Dragons show?,0
